date,sku_id,product_name,daily_demand,inventory,on_time_delivery_rate,defect_rate,lead_time,unit_cost
2025-01-01,SKU001,Coffee,115,466,94,2.5,3,50
2025-01-01,SKU002,Tea,82,301,95,3.1,5,40
2025-01-01,SKU003,Sugar,145,674,99,1.4,2,30
2025-01-02,SKU001,Coffee,127,445,97,2.1,3,50
2025-01-02,SKU002,Tea,92,276,93,2.7,5,40
2025-01-02,SKU003,Sugar,135,621,97,0.7,2,30
2025-01-03,SKU001,Coffee,139,386,96,2.1,3,50
2025-01-03,SKU002,Tea,92,296,93,3,5,40
2025-01-03,SKU003,Sugar,155,570,97,1,2,30
2025-01-04,SKU001,Coffee,136,316,94,2.8,3,50
2025-01-04,SKU002,Tea,74,334,92,3.1,5,40
2025-01-04,SKU003,Sugar,143,474,97,1.5,2,30
2025-01-05,SKU001,Coffee,114,292,96,1.7,3,50
2025-01-05,SKU002,Tea,94,347,93,2.7,5,40
2025-01-05,SKU003,Sugar,158,381,96,1.3,2,30
2025-01-06,SKU001,Coffee,139,231,97,2.1,3,50
2025-01-06,SKU002,Tea,78,340,95,2.9,5,40
2025-01-06,SKU003,Sugar,141,286,96,0.9,2,30
2025-01-07,SKU001,Coffee,112,210,95,2.6,3,50
2025-01-07,SKU002,Tea,98,317,92,3.6,5,40
2025-01-07,SKU003,Sugar,154,238,98,0.9,2,30
2025-01-08,SKU001,Coffee,131,187,95,2.2,3,50
2025-01-08,SKU002,Tea,80,309,92,3.7,5,40
2025-01-08,SKU003,Sugar,153,151,96,0.6,2,30
2025-01-09,SKU001,Coffee,115,168,95,1.9,3,50
2025-01-09,SKU002,Tea,98,275,95,3.7,5,40
2025-01-09,SKU003,Sugar,155,89,96,1.8,2,30
2025-01-10,SKU001,Coffee,120,115,96,1.8,3,50
2025-01-10,SKU002,Tea,82,271,94,3.4,5,40
2025-01-10,SKU003,Sugar,162,50,98,1,2,30
2025-01-11,SKU001,Coffee,128,50,97,2.6,3,50
2025-01-11,SKU002,Tea,89,222,93,2.8,5,40
2025-01-11,SKU003,Sugar,162,50,98,1.6,2,30
2025-01-12,SKU001,Coffee,105,50,95,1.9,3,50
2025-01-12,SKU002,Tea,68,228,92,3.7,5,40
2025-01-12,SKU003,Sugar,146,50,97,1.3,2,30
2025-01-13,SKU001,Coffee,137,50,95,1.7,3,50
2025-01-13,SKU002,Tea,72,241,95,3.3,5,40
2025-01-13,SKU003,Sugar,138,50,98,1.5,2,30
2025-01-14,SKU001,Coffee,138,50,97,1.9,3,50
2025-01-14,SKU002,Tea,85,249,95,3.5,5,40
2025-01-14,SKU003,Sugar,143,50,97,1.6,2,30
